matrix_size,timing
200,0.16309566666666667
400,1.6568336666666668
600,8.548769333333333
800,23.771983666666667
1000,69.18629633333335
1200,158.16758066666668
1400,283.4271943333333
1600,473.5488420000004
1800,761.9520903333333
